IDLE,1.6475374084335654e+18,1.6475374181280758e+18
HANDOVER,1.6475374252515679e+18,1.647537438454293e+18
ASSEMBLY,1.6475374440238543e+18,1.647537448766842e+18
ASSEMBLY,1.6475374495314696e+18,1.6475374541752594e+18
ASSEMBLY,1.6475374701101827e+18,1.6475374763512023e+18
ASSEMBLY,1.6475374777668273e+18,1.647537483204626e+18
ASSEMBLY,1.6475375126766666e+18,1.6475375157252296e+18
ASSEMBLY,1.6475375202174615e+18,1.6475375219554074e+18
ASSEMBLY,1.6475375231686743e+18,1.6475375249099535e+18
ASSEMBLY,1.6475375325919363e+18,1.6475375336744712e+18
HANDOVER,1.647537548628565e+18,1.6475375543976858e+18
PICKUP,1.6475376134840486e+18,1.6475376153213e+18
PICKUP,1.6475376233967357e+18,1.6475376246836334e+18
PICKUP,1.6475376390158822e+18,1.6475376415563965e+18
PICKUP,1.6475376538864663e+18,1.6475376556229934e+18
HANDOVER,1.6475376943332797e+18,1.6475376973238692e+18
BOLT,1.6475377013023063e+18,1.6475377037352215e+18
BOLT,1.6475377051493775e+18,1.647537711489872e+18
BOLT,1.6475377147578775e+18,1.6475377217540127e+18
SCREW,1.6475377455037647e+18,1.6475377527931005e+18
SCREW,1.647537754508956e+18,1.6475377580484554e+18
SCREW,1.6475377629185953e+18,1.6475377648096133e+18
SCREW,1.6475377662223393e+18,1.6475377711653076e+18
BOLT,1.6475378034146627e+18,1.6475378097152888e+18
BOLT,1.6475378112323958e+18,1.6475378167254956e+18
HANDOVER,1.647537858890255e+18,1.6475378695382147e+18
HANDOVER,1.6475378983899643e+18,1.6475379006299825e+18
SCREW,1.647537926019125e+18,1.6475379333189463e+18
SCREW,1.647537937933604e+18,1.6475379425250826e+18
SCREW,1.6475379546576054e+18,1.647537957597758e+18
