PICKUP,1.6475975194209088e+18,1.6475975258201439e+18
ASSEMBLY,1.6475975259834396e+18,1.6475975322788856e+18
PICKUP,1.6475975571007089e+18,1.6475975627685228e+18
ASSEMBLY,1.6475975637834808e+18,1.6475975677488174e+18
ASSEMBLY,1.647597604136303e+18,1.647597608059124e+18
ASSEMBLY,1.647597609340149e+18,1.647597610980727e+18
ASSEMBLY,1.6475976124509532e+18,1.6475976137333005e+18
ASSEMBLY,1.6475976143447954e+18,1.6475976167379453e+18
PICKUP,1.6475976430334423e+18,1.6475976466714673e+18
PICKUP,1.6475976469270182e+18,1.6475976481275105e+18
PICKUP,1.647597649148854e+18,1.647597650227555e+18
PICKUP,1.6475976517414636e+18,1.647597653281226e+18
PICKUP,1.6475976536996815e+18,1.6475976552830285e+18
SCREW,1.6475976569490488e+18,1.647597661842817e+18
SCREW,1.64759766310513e+18,1.6475976685989133e+18
PICKUP,1.6475976822816307e+18,1.647597684357591e+18
BOLT,1.647597696748268e+18,1.64759770213439e+18
PICKUP,1.6475977048642143e+18,1.6475977168611743e+18
BOLT,1.6475977218798664e+18,1.647597724718352e+18
BOLT,1.6475977332428365e+18,1.647597737888053e+18
BOLT,1.6475977618807493e+18,1.6475977666210975e+18
PICKUP,1.6475978221020434e+18,1.647597824794614e+18
SCREW,1.647597831466931e+18,1.6475978384086648e+18
SCREW,1.6475978462813583e+18,1.6475978510763323e+18
SCREW,1.6475978538952883e+18,1.6475978570313956e+18
SCREW,1.6475978631043868e+18,1.6475978683506179e+18
