PICKUP,1.6463875194664456e+18,1.6463875257614177e+18
PICKUP,1.6463875572274365e+18,1.6463875622051748e+18
PICKUP,1.6463875681300188e+18,1.646387568815346e+18
ASSEMBLY,1.6463875686767204e+18,1.6463875732711245e+18
PICKUP,1.6463875735884188e+18,1.6463875753152904e+18
ASSEMBLY,1.6463875745840924e+18,1.6463875788834465e+18
PICKUP,1.6463875790354465e+18,1.6463875798226258e+18
ASSEMBLY,1.6463875799961495e+18,1.6463875855897554e+18
ASSEMBLY,1.64638760427343e+18,1.6463876068620388e+18
ASSEMBLY,1.6463876076425075e+18,1.646387608916286e+18
PICKUP,1.6463876413494356e+18,1.646387646513846e+18
ASSEMBLY,1.6463876561910108e+18,1.6463876583286533e+18
SCREW,1.646387759601414e+18,1.6463877624038884e+18
SCREW,1.6463877643804575e+18,1.6463877676128479e+18
PICKUP,1.646387768622315e+18,1.6463877706205197e+18
SCREW,1.6463877716351997e+18,1.6463877743246167e+18
PICKUP,1.646387826201719e+18,1.646387827592438e+18
SCREW,1.6463878634057692e+18,1.646387868491447e+18
PICKUP,1.6463879430991178e+18,1.646387945533004e+18
BOLT,1.6463879496526077e+18,1.6463879581558781e+18
PICKUP,1.6463879646150203e+18,1.6463879765273377e+18
BOLT,1.6463879843511872e+18,1.6463879895424975e+18
BOLT,1.6463880204950787e+18,1.6463880279917788e+18
BOLT,1.646388030223448e+18,1.6463880363591885e+18
PICKUP,1.6463881260214528e+18,1.6463881283176453e+18
SCREW,1.6463881404898156e+18,1.6463881418864945e+18
SCREW,1.6463881726832425e+18,1.6463881783271754e+18
SCREW,1.6463882017247022e+18,1.6463882092693752e+18
