PICKUP,1.6493391581273027e+18,1.6493391595401935e+18
ASSEMBLY,1.649339165656486e+18,1.649339170197944e+18
ASSEMBLY,1.649339173276544e+18,1.6493391784572774e+18
PICKUP,1.6493391943071217e+18,1.6493392015554685e+18
ASSEMBLY,1.6493392035343552e+18,1.649339208963284e+18
ASSEMBLY,1.6493392118946767e+18,1.6493392173531318e+18
ASSEMBLY,1.6493392417874747e+18,1.6493392459695245e+18
ASSEMBLY,1.6493392472708833e+18,1.649339249012874e+18
ASSEMBLY,1.6493392496949716e+18,1.64933925162589e+18
ASSEMBLY,1.6493392560684634e+18,1.6493392596399782e+18
PICKUP,1.6493392776600453e+18,1.649339281552081e+18
PICKUP,1.6493393071977636e+18,1.6493393085505953e+18
PICKUP,1.6493393180000264e+18,1.6493393198883702e+18
PICKUP,1.6493393200810647e+18,1.6493393220628017e+18
PICKUP,1.6493393272920666e+18,1.649339329455895e+18
PICKUP,1.6493393393276035e+18,1.6493393523959055e+18
SCREW,1.6493393655158725e+18,1.649339367474651e+18
SCREW,1.6493393710903404e+18,1.6493393750057807e+18
BOLT,1.6493393875421947e+18,1.6493393945904522e+18
BOLT,1.6493393981811236e+18,1.6493394110930294e+18
BOLT,1.6493394136906898e+18,1.6493394287872325e+18
PICKUP,1.6493395906810278e+18,1.649339592171489e+18
SCREW,1.6493396012870449e+18,1.6493396044955965e+18
SCREW,1.6493396124449388e+18,1.6493396229666355e+18
